Year,Doomsday
1970,Saturday
1971,Sunday
1972,Tuesday
1973,Wednesday
1974,Thursday
1975,Friday
1976,Sunday
1977,Monday
1978,Tuesday
1979,Wednesday
1980,Friday
1981,Saturday
1982,Sunday
1983,Monday
1984,Wednesday
1985,Thursday
1986,Friday
1987,Saturday
1988,Monday
1989,Tuesday
1990,Wednesday
1991,Thursday
1992,Saturday
1993,Sunday
1994,Monday
1995,Tuesday
1996,Thursday
1997,Friday
1998,Saturday
1999,Sunday
2000,Tuesday
2001,Wednesday
2002,Thursday
2003,Friday
2004,Sunday
2005,Monday
2006,Tuesday
2007,Wednesday
2008,Friday
2009,Saturday
2010,Sunday
2011,Monday
2012,Wednesday
2013,Thursday
2014,Friday
2015,Saturday
2016,Monday
2017,Tuesday
2018,Wednesday
2019,Thursday
2020,Saturday
2021,Sunday
2022,Monday
2023,Tuesday
2024,Thursday
2025,Friday
2026,Saturday
2027,Sunday
2028,Tuesday
2029,Wednesday
